network,pct_lib,pct_con
FOX,0.13,0.54
CBS,0.18,0.42
BLOOMBERG,0.18,0.5
ABC,0.19,0.42
NBC,0.2,0.44
CNN,0.22,0.4
MSNBC,0.24,0.39
PBS,0.37,0.32
BBC,0.3,0.37
ALJAZEERA,,
CNBC,0.22,0.41
